epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
116,67.3067,1.17114,0.91453,1.02267,0.66642,0.63068,0.65134,0.39901,1.35206,1.06726,1.15777,0.00143075,0.00143075,0.00143075
117,67.845,1.14106,0.98291,1.06517,0.66642,0.63068,0.65134,0.39901,1.35206,1.06726,1.15777,0.0014258,0.0014258,0.0014258
118,68.3938,1.08077,0.86571,0.99267,0.68889,0.60391,0.65831,0.39518,1.37498,1.05568,1.14308,0.00142085,0.00142085,0.00142085
119,68.9466,1.14192,0.88109,1.00318,0.68889,0.60391,0.65831,0.39518,1.37498,1.05568,1.14308,0.0014159,0.0014159,0.0014159
120,69.5136,1.11323,0.85618,1.00231,0.56604,0.64205,0.62412,0.36807,1.35575,1.10054,1.11946,0.00141095,0.00141095,0.00141095
121,70.065,1.16449,0.87708,1.00303,0.56604,0.64205,0.62412,0.36807,1.35575,1.10054,1.11946,0.001406,0.001406,0.001406
122,70.6446,1.05371,0.8973,1.02329,0.59584,0.62824,0.6116,0.37206,1.36754,1.10094,1.1243,0.00140105,0.00140105,0.00140105
123,71.202,1.14696,0.83147,0.98922,0.59584,0.62824,0.6116,0.37206,1.36754,1.10094,1.1243,0.0013961,0.0013961,0.0013961
124,71.783,1.09724,0.82641,0.99101,0.57509,0.60795,0.63019,0.38813,1.34786,1.07659,1.12807,0.00139115,0.00139115,0.00139115
125,72.3269,1.01022,0.83178,0.99124,0.57509,0.60795,0.63019,0.38813,1.34786,1.07659,1.12807,0.0013862,0.0013862,0.0013862
126,72.8803,1.08325,0.8139,0.9866,0.60683,0.59091,0.6482,0.39096,1.38744,1.09786,1.14316,0.00138125,0.00138125,0.00138125
127,73.4301,1.09079,0.82871,0.9822,0.60683,0.59091,0.6482,0.39096,1.38744,1.09786,1.14316,0.0013763,0.0013763,0.0013763
128,73.98,1.11027,0.82,1.01805,0.62539,0.59091,0.63791,0.39472,1.39239,1.10433,1.15378,0.00137135,0.00137135,0.00137135
129,74.5522,1.26373,0.94547,1.03484,0.62539,0.59091,0.63791,0.39472,1.39239,1.10433,1.15378,0.0013664,0.0013664,0.0013664
130,75.1191,1.16217,0.9047,1.04104,0.60769,0.5625,0.627,0.37998,1.41124,1.11102,1.1614,0.00136145,0.00136145,0.00136145
131,75.7005,1.13668,0.85395,1.02997,0.60769,0.5625,0.627,0.37998,1.41124,1.11102,1.1614,0.0013565,0.0013565,0.0013565
132,76.2585,1.15471,0.89185,1.01763,0.64666,0.53409,0.61315,0.36654,1.41057,1.14678,1.1614,0.00135155,0.00135155,0.00135155
133,76.8049,1.10921,0.8444,0.98183,0.64666,0.53409,0.61315,0.36654,1.41057,1.14678,1.1614,0.0013466,0.0013466,0.0013466
134,77.384,1.11,0.89661,1.02417,0.66771,0.58523,0.63883,0.38674,1.39269,1.09247,1.15412,0.00134165,0.00134165,0.00134165
135,77.9211,1.02017,0.77538,0.97055,0.66771,0.58523,0.63883,0.38674,1.39269,1.09247,1.15412,0.0013367,0.0013367,0.0013367
